Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
아노블리81,오피스텔,201812,ES,81.65,139.38,104.0,856,115000,340000,185000,52500,170000,95000,4388,10218,5880,2143,5109,3020,37.523844,127.041657,10,1,7,2,19,0,26,0,11,6,21,6,청담동
한양8차,아파트,198406,ES,214.49,224.21,214.0,195,830000,830000,830000,250000,280000,,12822,12822,12822,3689,4246,,37.529975,127.042172,6,1,1,1,18,0,9,0,0,2,16,6,청담동
한신오페라하우스,아파트,200311,ES,101.53,160.24,160.0,252,215000,295000,295000,150000,220000,200000,5397,7037,6095,3099,4545,4132,37.519236,127.045691,8,0,7,1,19,0,6,0,5,6,23,6,청담동
청담범신칼릭스빌2차,아파트,200705,ES,121.47,121.47,121.0,199,330000,330000,330000,0,0,,9016,9016,9016,0,0,,37.526683,127.051751,3,0,8,1,19,0,17,1,7,9,26,6,청담동
청담디에브스,아파트,201708,WW,152.31,152.31,152.0,227,170000,170000,170000,130000,130000,130000,3697,3697,3697,2827,2827,2827,37.522862,127.049146,11,0,9,2,19,0,24,1,5,16,31,6,청담동
상지리츠빌6차,아파트,200202,WW,169.3,169.3,169.0,290,0,0,,190000,190000,190000,0,0,,3717,3717,3717,37.527753,127.050368,4,0,6,1,19,0,16,1,3,7,26,6,청담동
삼성현대1차,아파트,200512,WW,176.36,176.36,176.0,245,0,0,,200000,200000,200000,0,0,,3757,3757,3757,37.519085,127.054935,11,1,3,1,19,0,10,0,3,5,20,6,청담동
에비뉴나인티(도시형),아파트,202009,WW,65.85,67.57,66.0,199,153800,168000,161400,120000,140000,135000,7703,8415,8084,5921,7012,6762,37.525186,127.042563,12,1,7,2,19,0,28,0,8,8,21,6,청담동
청담린든그로브,아파트,201708,WW,114.36,277.45,114.0,193,360000,800000,360000,167000,220000,170000,9547,10439,10439,4843,6380,4930,37.522752,127.053648,14,1,7,2,19,0,22,0,7,10,23,6,청담동
삼성청담공원,아파트,199908,WW,81.95,132.18,132.0,271,178000,280000,250000,87000,87000,,6261,7265,6261,2713,2713,,37.522268,127.050266,11,1,9,2,19,0,26,0,5,14,27,6,청담동
청담대우유로카운티,아파트,200404,WW,124.96,161.21,142.0,282,235000,350000,350000,220000,220000,,6053,8206,8148,4517,4517,,37.523597,127.050059,8,0,9,2,19,0,24,1,7,16,30,6,청담동
현대리버스텔,오피스텔,199110,WW,44.83,48.33,48.0,1059,35000,38500,35000,14000,15000,14000,2410,2652,2410,964,1127,964,37.524063,127.055461,8,0,6,1,19,0,15,0,7,7,23,6,청담동
더헤리움(B동),아파트,201706,WW,44.13,57.87,57.0,192,105000,110000,109950,70000,79000,,6198,6380,6377,5259,5935,,37.523615,127.052539,12,1,9,2,19,0,22,1,8,15,25,6,청담동
청담스테이,아파트,201802,WW,30.26,32.55,30.0,199,63200,89000,89000,56000,72000,64000,6529,9807,9807,5785,7934,7052,37.519189,127.042292,4,0,4,1,19,0,9,0,3,3,21,6,청담동
